manggūldai ,	nn mark
alca ,	nn mark
○ gulu fulgiyan i gūsa i bargiya ra ba ,	mark nv nv cm nv cm verb e nv mark
ere gisun be jurce ci ,	nv nv cm verb e mark
juwe morin ,	nv nv mark
girin_hada be ka habi seme alanji ha ,	nn cm verb e comp verb e mark
tuwa fi gene kini seme tuttu jortai efibu he .	verb e verb e comp nv nv verb e mark
jai emu tanggū dehi adun be bu hekū ,	nv nv nv nv nv cm verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
liyoha ci ebsi ,	nn cm nv mark
uji re faksi niyalma de afabu fi tuwakiyabu ∅ ,	verb e nv nv cm verb e verb e mark
○ jušen i alban i ihan ,	mark nv cm nv cm nv mark
ordo_hada de sunja niru .	nn cm nv nv mark
juwan haha de emu niyalma tuci fi weile mbi kai ,	nv nv cm nv nv verb e verb e ptcl mark
den hashan ,	nv nv mark
nimaha bai re juwan niyalma ,	nv verb e nv nv mark
lung_king ni ilaci aniya ninggun biya i ice uyun de baha ha hai_si ša_ho_wei i du_jy_hūi_tungjy iliki i omolo obo ,	nn cm nv nv nv nv cm nv nv cm verb e nn nn cm nv nn cm nv nn mark
korcin i manggūs_beile i sargan jui be ,	nn cm nn cm nv nv cm mark
jaisanggū ,	nn mark
sin i gisun be daha rakū ci ,	pn cm nv cm verb e e mark
min i aisin tana be sin i uju beye ete rakū dasa fi ,	pn cm nv nv cm pn cm nv nv verb e verb e mark
manju i cooha yala gene fi afa ci ,	nv cm nv nv verb e verb e mark
beile se suwe donji ha mujangga se ci ,	nv nv pn verb e nv verb e mark
hai_si mulu_wei i du_jy_hūi_tungjy nikan i jui urika ,	nn nn cm nv nv cm nv nn mark
juwete biya te fi hala mbi .	nv nv verb e verb e mark
abka be fisa de sinda ra ngge sain akū ,	nv cm nv cm verb e nmlz nv nv mark
○ bagadarhan ci uka me jide re haraldai ,	mark nn cm verb e verb e nn mark
bithe ara fi firu me deiji he inu mujangga ,	nv verb e verb e verb e nv nv mark
juwete yan menggun šangna ha .	nv nv nv verb e mark
○ gangguri ,	mark nn mark
tondo banji ki .	nv verb e mark
orin jakūn de fusi_efu de wasimbu ha ,	nv nv cm nn cm verb e mark
jalda me ji he be sere fi gemu wa ha .	verb e verb e cm verb e nv verb e mark
aba cooha de yabu ci ,	nv nv cm verb e mark
hecen ara ra ba be tuwa fi ,	nv verb e nv cm verb e mark
te re boo be getuken i icihiya me neigen bu me uji mbi kai ,	verb e nv cm nv cm verb e nv verb e verb e ptcl mark
nikan bu he .	nv verb e mark
muse nene me tede afa ki seme hendu fi ,	pn verb e nv verb e comp verb e mark
gemu faita ha ,	nv verb e mark
gūwa gercile he de ,	nv verb e cm mark
tere inenggi ,	nv nv mark
tahitun ,	nn mark
sure_kundulen_han hendu me ,	nn verb e mark
emu erin hono o hakū uthai amasi bedere he seme ala ha manggi ,	nv nv nv verb e nv nv verb e comp verb e nv mark
jai meiren i ejen ,	nv nv cm nv mark
ere aniya aba abala fi gurgu i yali ambula baha ha be daha me ,	nv nv nv verb e nv cm nv nv verb e cm verb e mark
anggala i ton ,	nv cm nv mark
sain be sain ,	nv cm nv mark
faksi de juwete niyalma ,	nv cm nv nv mark
hūlha holo mujilen be jafa rakū ,	nv nv nv cm verb e mark
u_tai_g'ang_ho_wei i du_jy_hūi_ši ihaca i omolo betung ,	nn cm nv nn cm nv nn mark
monggo i yun de toso me gene fi ,	nv cm nv cm verb e verb e mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
tumen hacin i seole re ngge ,	nv nv cm verb e nmlz mark
ere juwe de ,	nv nv cm mark
○ fafula rakū ,	mark verb e mark
tofohoci jergi .	nv nv mark
muse i doro be ehe obu re niyalma kai ,	nv cm nv cm nv verb e nv ptcl mark
ciyan_šan i wang_fung_cing se i han de beye dahabu mbi seme ,	nn cm nn nv cm nv cm nv verb e comp mark
han ,	nv mark
bata kimun seme gida rakū ,	nv nv comp verb e mark
golo de te he niyalma i gebu be ,	nv cm verb e nv cm nv cm mark
aca me waji ha manggi ,	verb e verb e nv mark
jušen han i ehe sain be ,	nv nv cm nv nv cm mark
○ uju mukūn i jai tatan ,	mark nv nv cm nv nv mark
waliya fi gene ki ,	verb e verb e mark
bi suwen i jalin de hendu mbi dere ,	pn pn cm nv cm verb e ptcl mark
fejergi jalan i niyalma ,	nv nv cm nv mark
munggu ,	nn mark
muse i dolo amasi julesi ubaša me banji mbi o seme ilaka be wa ha .	nv cm nv nv nv verb e verb e ptcl comp nn cm verb e mark
han hendu me ,	nv verb e mark
beye hūdun ji ∅ seme takūra ha bi he ,	nv nv verb e comp verb e verb e mark
jakūta_golo i amban bi he ,	nn cm nv verb e mark
karun i niyalma ,	nv cm nv mark
meni meni harangga ba de bisi re alban i ihan be hūdun baica fi bu rakū ci ,	nv nv nv nv cm verb e nv cm nv cm nv verb e verb e e mark
○ ineku tere inenggi ,	mark nv nv nv mark
suwe ambula baha ha hafan ,	pn nv verb e nv mark
jeku bisi re niyalma i ton de dosimbu ∅ ,	nv verb e nv cm nv cm verb e mark
han be bai me jide re de ,	nv cm verb e verb e cm mark
bumbai ,	nn mark
jergi niyalma ci sitabu fi ,	nv nv cm verb e mark
ai ai furdehe tana seke buta ha ,	nv nv nv nv nv verb e mark
jaifiyan i oforo de cooha bi hebi ,	nv cm nv cm nv verb e mark
indahūci janggin ,	nn nv mark
jakūn gūsa i beile se ya weile baha ci ,	nv nv cm nv nv nv nv verb e mark
kubu hekū šanggiyan ,	verb e nv mark
ihan i beye i amban ajige be gemu bithe ara fi ,	nv cm nv cm nv nv cm nv nv verb e mark
juwe ulgiyan ,	nv nv mark
○ muse i sinda fi unggi he bak_taiji ,	mark nv cm verb e verb e nn mark
tere i amala manggūltai_beile jura ka ,	nv cm nv nn verb e mark
sa mbi seme gisun hendu fi unggi ∅ ,	verb e comp nv verb e verb e mark
niru i ejen ,	nv cm nv mark
g'ai_jeo ,	nn mark
aisin menggun sabu mbi o ,	nv nv verb e ptcl mark
gemu emu ba de te hebi ,	nv nv nv cm verb e mark
juwan emu yan i weile waliya mbi ,	nv nv nv cm nv verb e mark
emte gecuheri ,	nv nv mark
han i uksun i deo jiberi_dujiho i sargan jui be ,	nv cm nv cm nv nn cm nv nv cm mark
han sa fi ,	nv verb e mark
emu minggan uksin i niyalma be dele nonggi me unggi fi ,	nv nv nv cm nv cm nv verb e verb e mark
jugūn de aika nungne me cuwangna ha de ,	nv cm nv verb e verb e cm mark
min i emu juwe niyalma be gaibu ci ,	pn cm nv nv nv cm verb e mark
monggo i boigon de anggala tolo me ,	nv cm nv cm nv verb e mark
amba sarin sarila ha .	nv nv verb e mark
sin be adarame doro jafabu re ,	pn cm nv nv verb e mark
gūsin duin niyalma gene fi nadan dedu he manggi ,	nv nv nv verb e nv verb e nv mark
abka i jori ha tere amba ganio be we jailabu mbi ,	nv cm verb e nv nv nv cm nv verb e mark
○ šajin_bayan i susai yan i gung be ,	mark nn cm nv nv cm nv cm mark
nikan i geren iogi hafasa de ,	nv cm nv nv nv cm mark
fataha ,	nn mark
caihu_mafa ,	nn mark
○ usin fehu me boo icihiya me ,	mark nv verb e nv verb e mark
fakca ha de ,	verb e cm mark
cargi ci ji he giyansi be gida fi tucibu rakū o fi ,	nv cm verb e nv cm verb e verb e verb e mark
orin haha de emu niyalma be cooha ilibu mbi ,	nv nv cm nv nv cm nv verb e mark
gemu siden de sinda fi ,	nv nv cm verb e mark
gurgu i dolo doksin tasha i adali gūni me banji ha jaisai be abka wakala fi ,	nv cm nv nv nv cm nv verb e verb e nn cm nv verb e mark
gerci hoko ho ,	nv verb e mark
yangguri_efu ,	nn mark
○ dodo_age i lang_iogi i wei_yūn_deng daise beiguwan bi he ,	mark nn cm nn cm nn nv nv verb e mark
gung bu re ,	nv verb e mark
○ ninju ,	mark nv mark
haji sargan be gaji hakū ,	nv nv cm verb e mark
suwe min i baru o fi gisure ci ,	pn pn cm nv verb e verb e mark
ninju duin hehe ,	nv nv nv mark
kiyoo ca ha gung de uji he ,	nv verb e nv cm verb e mark
○ juwan de ,	mark nv cm mark
ere jakūn niyalma be ,	nv nv nv cm mark
eiten buya gurun i han beile se i dulimba de elhe taifin i te he genggiyen_han de bithe wesimbu he ,	nv nv nv cm nv nv nv cm nv cm nv nv cm verb e nn cm nv verb e mark
○ niohon gvlmahūn aniya ,	mark nv nv nv mark
niowanggiyan moro fengseku uheri emu minggan sunja tanggū benji he ,	nv nv nv nv nv nv nv nv verb e mark
ai ai gisun gisure he gemu mujangga seme ala ha manggi ,	nv nv nv verb e nv nv comp verb e nv mark
gecuheri goksi ,	nv nv mark
ere ilan ba de dosi ka bi he ,	nv nv nv cm verb e verb e mark
niowanggiyaha i hecen ci šun tuhe re ergi de ,	nn cm nv cm nv verb e nv cm mark
jaisanggū ,	nn mark
uhereme uyun niyalma feye baha ha ,	nv nv nv nv verb e mark
juwan emu yan i weile waliya mbi ,	nv nv nv cm nv verb e mark
ulin ulha aisin menggun ,	nv nv nv nv mark
jugūn de morin yalu fi yabu re be baica ra ,	nv cm nv verb e verb e cm verb e mark
ebše re baita o ci ,	verb e nv verb e mark
sahahūn ihan aniya aniya biya i juwan jakūn de ,	nv nv nv nv nv cm nv nv cm mark
gene mbi se re de okdo me gaji habi ,	verb e verb e cm verb e verb e mark
emte yan aisin be juwan juwe ba de sinda fi ,	nv nv nv cm nv nv nv cm verb e mark
ulha niyalma gaibu ha seme ala ha ,	nv nv verb e comp verb e mark
hai_si niman_wei i du_jy_hūi_ciyanši umehe i jui sucihu ,	nn nn cm nv nn cm nv nn mark
tung_yang_sing be ,	nn cm mark
buce ci ,	verb e mark
ula de ilan feye baha ha seme juwan emute yan i weile waliya mbi ,	nv cm nv nv verb e comp nv nv nv cm nv verb e mark
nene me dosi fi feye baha ha seme olji bu rakū ,	verb e verb e nv verb e comp nv verb e mark
puho hecen be gai fi ,	nn nv cm verb e mark
unege be han ci hokobu rakū ci ojo rakū seme hendu he se re seme ,	nn cm nv cm verb e e verb e comp verb e verb e comp mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
ulgiyan de ninggun niyalma ,	nv cm nv nv mark
inu sin de ebune mbi ,	nv pn cm verb e mark
gemu amasi bederebu me bu he .	nv nv verb e verb e mark
orita honin bu he ,	nv nv verb e mark
suwe meni meni gūsa i beile se amban sa be isabu fi hūlha me tuwa ∅ ,	pn nv nv nv cm nv nv nv nv cm verb e verb e verb e mark
tsoo_ho_wei i du_jy_hūi_tungjy cooha i jui daisanggū ,	nn cm nv nv cm nv nn mark
cekemu emte ,	nv nv mark
ere juwe amban de susaita yan i weile gai ha .	nv nv nv cm nv nv cm nv verb e mark
monggo gurun i ejen temujin ,	nv nv cm nv nn mark
lung_king ni ilaci aniya duin biya i orin sunja de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
mungtan ,	nn mark
suje uda ci ,	nv verb e mark
liyoodung ni fe juwe iogi be adabu fi unggi fi tuwa me icihiyabu ∅ ,	nn cm nv nv nv cm verb e verb e verb e verb e mark
sin be birai_wargi niyalma bele me okto unggi mbi ,	pn cm nn nv verb e nv verb e mark
tamse ,	nv mark
dain i jurgan be sa mbi ,	nv cm nv cm verb e mark
abka i acabu ha be gūni rakū geodebu me holto me yabu ci ,	nv cm verb e cm verb e verb e verb e verb e mark
jai gūsin boigon ,	nv nv nv mark
doro be gūni me wa rakū gaija rakū dere ,	nv cm verb e verb e verb e ptcl mark
julergi de te he orin sunja uksin ,	nv cm verb e nv nv nv mark
lung_king ni duici aniya nadan biya i orin jakūn de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
kalka aca fi korcin i ooba_hūwang_taiji be wa ki gai ki seme cooha ji he ,	nv verb e nn cm nn cm verb e verb e comp nv verb e mark
orho moo elgiyen ,	nv nv nv mark
hife gebungge juwe amban be takūra ha bi he ,	nv nv nv nv cm verb e verb e mark
dzung_bing_guwan ,	nv mark
hecen de tafa ka medege be coko erin de alanji ha manggi ,	nv cm verb e nv cm nv nv cm verb e nv mark
jakūn honin jafa fi hengkile me aca ha .	nv nv verb e verb e verb e mark
han sa kini ,	nv verb e mark
weile waji re doro tere kai ,	nv verb e nv nv ptcl mark
tere alanji ha gisun de ,	nv verb e nv cm mark
ineku sakda i šusai juleri dosi ka ,	nv nv cm nv nv verb e mark
uksin saca gida jangkū sirdan dain i agūra be gemu gai fi yabu mbihe ,	nv nv nv nv nv nv cm nv cm nv verb e verb e mark
gene me emu inenggi emu dobori ,	verb e nv nv nv nv mark
ehe sain be dere bani rakū ,	nv nv cm nv verb e mark
han ama i tacibu me hendu he gisun be eje rakū ,	nv nv cm verb e verb e nv cm verb e mark
in i ajige jui be gai fi ,	pn cm nv nv cm verb e mark
gene ci gene kini seme usin jeku icihiya me bu hekūbi kai ,	verb e verb e comp nv nv verb e verb e ptcl mark
amba age be emhun juleri unggi fi ,	nv nv cm nv nv verb e mark
tsangsari ,	nn mark
ganggada ,	nn mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
šangna ra ba de juse deote beiguwan i hergen de baha kini seme hendu he ,	verb e nv cm nv nv nv cm nv cm verb e comp verb e mark
jori ha jurgan be jurce rakū seme ,	verb e nv cm verb e comp mark
uksin be asara fi si jai atanggi etu ki se mbi ,	nv cm verb e pn nv nv verb e verb e mark
hūlha me je ke ngge ere juwe weile be ,	verb e verb e nmlz nv nv nv cm mark
suna ,	nv mark
tere ci cooha gene ci ,	nv cm nv verb e mark
sin i kadala ra ba i niyalma be ,	pn cm verb e nv cm nv cm mark
gosi re doro be ume lashala ra ,	verb e nv cm nv verb e mark
tuba be gūni fi ,	nv cm verb e mark
oforo šan toko ho .	nv nv verb e mark
juwe jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
gulu šanggiyan i gūsa i juwan uyun da ,	nv nv cm nv cm nv nv nv mark
turgei bi ,	nn verb mark
baha rakū ba de o ci ,	verb e nv cm verb e mark
) gene re de unggi he bithe i gisun ,	mark verb e cm verb e nv cm nv mark
bi nikan i gese gelebu rakū ,	pn nv cm nv verb e mark
jakūn dere dasa fi sarin sarila ra de ,	nv nv verb e nv verb e cm mark
minggan cooha be da me unggi he manggi ,	nv nv cm verb e verb e nv mark
han i pai be gai fi ,	nv cm nv cm verb e mark
efule me gemu baha ha manggi ,	verb e nv verb e nv mark
ji he beile se suwe ,	verb e nv nv pn mark
jakūnjuta boso ,	nv nv mark
bai me ji he juse be ,	verb e verb e nv cm mark
emu morin de ulebu re liyoo be juwan morin de ulebu mbi ,	nv nv cm verb e nv cm nv nv cm verb e mark
wanjan ,	nn mark
orin sunja yan i weile waliya mbi ,	nv nv nv cm nv verb e mark
jori ha jurgan be jurce rakū seme ,	verb e nv cm verb e comp mark
dain i dosi re be si baha fi sarkū ci ,	nv cm verb e cm pn verb e nv cm mark
wan_lii i uyuci aniya duin biya i orin jakūn de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
boo i uji he ujima ,	nv cm verb e nv mark
○ orin de ,	mark nv cm mark
○ ice duin de ,	mark nv nv cm mark
wan_lii i uyuci aniya duin biya i orin jakūn de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
fu_si_keo boo i guile he ilan šoro gaji ha .	nn nv cm verb e nv nv verb e mark
amba_fujin i ara ha weile be ala fi ,	nn cm verb e nv cm verb e mark
sin i tafula ra mujangga kai ,	pn cm verb e nv ptcl mark
sahaji ,	nn mark
gaha_ho_wei i du_jy_hūi_ciyanši mulamu i jui bahamu ,	nn cm nv nn cm nv nn mark
bi yan_geng be geli niyalma takūra fi dasa me yargiyala me baica fi ,	pn nn cm nv nv verb e verb e verb e verb e mark
geren buya hafan be hengkile me acabu ha ,	nv nv nv cm verb e verb e mark
gašan gašan i bargiya ha niyalma be tuwana me unggi ∅ .	nv nv cm verb e nv cm verb e verb e mark
han halhūn muke ci ji he .	nv nv nv cm verb e mark
han hendu me ,	nv verb e mark
○ emu niru i orin sunjata uksin be tucibu fi ,	mark nv nv cm nv nv nv cm verb e mark
jang_jing_be ,	nn mark
ehe o fi bi umai dere akū kai ,	nv verb e pn nv nv nv ptcl mark
juwan boo i jušen gai mbihe ,	nv nv cm nv verb e mark
mederi bitu me te he hūwang_gu_doo ,	nv verb e verb e nn mark
ilan morin gaji me uka me ji he seme ,	nv nv verb e verb e verb e comp mark
bi abka na i arbun be tuwa me yabu mbi kai ,	pn nv nv cm nv cm verb e verb e ptcl mark
nadaci aniya juwe biya i ice uyun de baha ha ,	nv nv nv nv cm nv nv cm verb e mark
cooha i niyalma hecen i ninggu de uksile fi ,	nv cm nv nv cm nv cm verb e mark
orin sunja gin dabsun šangna me bu he .	nv nv nv nv verb e verb e mark
emu tanggū dehi boo ,	nv nv nv nv mark
jirgalang_age ,	nn mark
waka uru be saikan geterembu me bodo fi ,	nv nv cm nv verb e verb e mark
gulhun hai_si donggo_šan_wei i du_jy_hūi_ciyanši cibi i omolo babu ,	nv nn nn cm nv nn cm nv nn mark
○ ice ilan i inenggi ,	mark nv nv cm nv mark
udahai niru i emu niyalma ,	nn nv cm nv nv mark
uju jergi beiguwan i caliyan ,	nv nv nv cm nv mark
nanjilan ,	nn mark
sain olhoba niyalma be ejen ara fi unggi ∅ ,	nv nv nv cm nv verb e verb e mark
pojan cargilakū efibu he ,	nv nv verb e mark
amba yali sile ,	nv nv nv mark
baduhū be suwe unggi ci ,	nn cm pn verb e mark
han i hūncihin be wa ha ,	nv cm nv cm verb e mark
jakūn gūsa i niyalma de gemu donjibu ∅ .	nv nv cm nv cm nv verb e mark
yoto_age i sun_beiguwan be tuba de baha fi sinda ha ,	nn cm nn cm nv cm verb e verb e mark
emu niyalma be weihun jafa habi ,	nv nv cm nv verb e mark
jeku tuwakiya ra ejen uhe tuwakiya ∅ ,	nv verb e nv nv verb e mark
siokune ,	nn mark
tuci fi yabu re ba de o cibe ,	verb e verb e nv cm verb e mark
min i tafula ra gisun be gai fi ,	pn cm verb e nv cm verb e mark
šajin de duile fi ,	nv cm verb e mark
ilan tanggū ihan ,	nv nv nv mark
cing_ho_pu i dolo tuwa bi ,	nn cm nv nv verb mark
jakūta de emu feye ,	nv cm nv nv mark
nikan han de cooha bai ha be ,	nv nv cm nv verb e cm mark
ba i ejen hafan de habša ∅ ,	nv cm nv nv cm verb e mark
○ beiguwan barintai ,	mark nv nn mark
guwangning ni hafasa ,	nn cm nv mark
sirabu ,	nn mark
tubihe uji re ilan minggan juwe tanggū haha isi rakū seme jasi habi ,	nv verb e nv nv nv nv nv verb e comp verb e mark
ihan honin wa fi amba sarin sarila me ,	nv nv verb e nv nv verb e mark
jai yentai i jui dureng ,	nv nn cm nv nn mark
tule gene re horho tuwa ra ,	nv verb e nv verb e mark
ulgiyan ,	nv mark
mandulai ,	nn mark
fakca rakū ci ,	verb e e mark
eiten niyalma i buye he gūni ha jaka be gemu isibu ha ,	nv nv cm verb e verb e nv cm nv verb e mark
mocin susai ,	nv nv mark
wan_lii i sunjaci aniya jorgon biya i ice sunja de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
○ kubu he lamun ,	mark verb e nv mark
hiyan_šan ,	nn mark
tutala orin funce me tana be yasun aibide baha ha ,	nv nv verb e nv cm nn nv verb e mark
kasari ,	nv mark
han ,	nv mark
jušen juwe tanggū haha gai mbihe ,	nv nv nv nv verb e mark
jai jušen nikan meni meni giyai dende fi te hebi kai ,	nv nv nv nv nv nv verb e verb e ptcl mark
duin tumen cooha be gai fi ,	nv nv nv cm verb e mark
enteheme wesihun niyalma de jobocun golocun bi ,	nv nv nv cm nv nv verb mark
○ juwan emu de ,	mark nv nv cm mark
ongnoi i elcin ,	nn cm nv mark
megu ,	nv mark
daihal sin be inu uji fi sinda fi unggi he ,	nn pn cm nv verb e verb e verb e mark
eje me gai ∅ seme gai ha .	verb e verb e comp verb e mark
suwen i monggo ume dosi re ,	pn cm nv nv verb e mark
fujiyang ci fakca ha de ,	nv cm verb e cm mark
juwan ilan hule jeku bi he ,	nv nv nv nv verb e mark
dudu_age ,	nn mark
mute rakū ci alanji ∅ ,	verb e e verb e mark
tere inu hūturi kai ,	nv nv nv ptcl mark
enggeder min be abka wakala fi sui isi kini ,	nn pn cm nv verb e nv verb e mark
caiha ci julesi ,	nn cm nv mark
emu niru i ninggute uksin i niyalma be gai fi ,	nv nv cm nv nv cm nv cm verb e mark
gebakū ,	nn mark
sogi de tofohon yan gai mbihe ,	nv cm nv nv verb e mark
yekšu i orin sunja yan i gung be samha ji fi faita ha .	nn cm nv nv nv cm nv cm nv verb e verb e mark
yali be je me ,	nv cm verb e mark
doro i jalin de buce mbi kai ,	nv cm nv cm verb e ptcl mark
○ dobui be ,	mark nn cm mark
men be encu gurun i emgi emu o hobi seme ,	pn cm nv nv cm nv nv verb e comp mark
beye buce kini ,	nv verb e mark
aha ,	nv mark
sebun be te me goida mbi seme gosi ci ,	nn cm verb e verb e comp verb e mark
gurun i suila ra jobo ro ngge ,	nv cm verb e verb e nmlz mark
beile se ,	nv nv mark
duici inenggi gene re de ,	nv nv verb e cm mark
si gashū fi sain se he ngge aba ,	pn verb e nv verb e nmlz nv mark
irgen be gejure he weile be ,	nv cm verb e nv cm mark
karun i niyalma de alanji habi ,	nv cm nv cm verb e mark
kobjilak gai ha .	nn verb e mark
alban i menggun bu fi gaija ra ihan be ,	nv cm nv verb e verb e nv cm mark
